Column Tag,Data Element
PO-WGWFr,"Thermoelectric once-through, groundwater withdrawals, fresh, in Mgal/d"
PO-WGWSa,"Thermoelectric once-through, groundwater withdrawals, saline, in Mgal/d"
PO-WGWTo,"Thermoelectric once-through, groundwater withdrawals, total, in Mgal/d"
PO-WSWFr,"Thermoelectric once-through, surface-water withdrawals, fresh, in Mgal/d"
PO-WSWSa,"Thermoelectric once-through, surface-water withdrawals, saline, in Mgal/d"
PO-WSWTo,"Thermoelectric once-through, surface-water withdrawals, total, in Mgal/d"
PO-WFrTo,"Thermoelectric once-through, total withdrawals, fresh, in Mgal/d"
PO-WSaTo,"Thermoelectric once-through, total withdrawals, saline, in Mgal/d"
PO-WTotl,"Thermoelectric once-through, total withdrawals, total, in Mgal/d"
PO-Power,"Thermoelectric once-through, power generated, in gigawatt-hours"
PC-WGWFr,"Thermoelectric recirculation, groundwater withdrawals, fresh, in Mgal/d"
PC-WGWSa,"Thermoelectric recirculation, groundwater withdrawals, saline, in Mgal/d"
PC-WGWTo,"Thermoelectric recirculation, groundwater withdrawals, total, in Mgal/d"
PC-WSWFr,"Thermoelectric recirculation, surface-water withdrawals, fresh, in Mgal/d"
PC-WSWSa,"Thermoelectric recirculation, surface-water withdrawals, saline, in Mgal/d"
PC-WSWTo,"Thermoelectric recirculation, surface-water withdrawals, total, in Mgal/d"
PC-WFrTo,"Thermoelectric recirculation, total withdrawals, fresh, in Mgal/d"
PC-WSaTo,"Thermoelectric recirculation, total withdrawals, saline, in Mgal/d"
PC-WTotl,"Thermoelectric recirculation, total withdrawals, total (fresh+saline), in Mgal/d"
PC-Power,"Thermoelectric recirculation, power generated, in gigawatt-hours"
TO-WGWFr,"Total groundwater withdrawals, fresh, in Mgal/d"
TO-WGWSa,"Total groundwater withdrawals, saline, in Mgal/d"
TO-WGWTo,"Total groundwater withdrawals, total (fresh+saline), in Mgal/d"
TO-WSWFr,"Total surface-water withdrawals, fresh, in Mgal/d"
TO-WSWSa,"Total surface-water withdrawals, saline, in Mgal/d"
TO-WSWTo,"Total surface-water withdrawals, total (fresh+saline), in Mgal/d"
TO-WFrTo,"Total withdrawals, fresh, in Mgal/d"
TO-WSaTo,"Total withdrawals, saline, in Mgal/d"
TO-WTotl,"Total withdrawals, total (fresh+saline), in Mgal/d"
